product_id,product_name,brand_id,brand_name,loves_count,rating,reviews,ingredients,price_usd,primary_category,secondary_category
P470507,The Cream with TFC8 Face Moisturizer,6356,Augustinus Bader,11428,4.3605,430.0,"['Aqua (Water), Caprylic/Capric Triglyceride, Pentylene Glycol, Propylene Glycol, Hydrogenated Phosphatidylcholine, Glycerin, Sorbitol, Tocopheryl Acetate, Butyrospermum Parkii (Shea) Butter, Xanthan Gum, Butylene Glycol, Panthenol, Sodium Carbomer, Aloe Barbadensis Leaf Juice, Alcohol, Hydrolyzed Rice Protein, Squalane, Helianthus Annuus (Sunflower) Seed Oil, Phenoxyethanol, Sodium Hydroxide, Carbomer, Lecithin, Cholesterol, Hydrogenated Lecithin, Ascorbyl Palmitate, Ceramide NP, Glycine Soja (Soybean) Protein, Superoxide Dismutase, Citric Acid, Dextran, Palmitoyl Tripeptide-8, Alanyl Glutamine, Arginine, Ceramide NG, Glycine, Lysine, Oleic Acid, Palmitic Acid, Phenylalanine, Proline, Scenedesmus Rubescens Extract, Ascorbic Acid, Retinyl Palmitate, Sodium Benzoate, Potassium Sorbate, Ethylhexylglycerin, Sodium Dextran Sulfate, Brassica Alba Oil, Disodium EDTA, Oligopeptide-177, Sodium Ascorbate, Tocopherol.']",180.0,Skincare,Moisturizers
P500019,The True Cream - Aqua Bomb Sunscreen Broad Spectrum SPF 50,7075,belif,11146,4.5248,423.0,"['Water, Glycerin, Dimethicone, Isododecane, Cetearyl Alcohol, Potassium Cetyl Phosphate, Acrylates/Polytrimethylsiloxymethacrylate Copolymer, 1,2-Hexanediol, Panthenol, Benzotriazolyl Dodecyl P-Cresol, Glyceryl Caprylate, Glyceryl Stearate, Polymethyl Methacrylate, Magnesium Aluminum Silicate, Cetearyl Olivate, Inulin Lauryl Carbamate, Sorbitan Olivate, Citrus Aurantium Dulcis (Orange) Peel Oil, Acrylates/C10-30 Alkyl Acrylate Crosspolymer, Xanthan Gum, Citrus Aurantifolia (Lime) Oil, Tromethamine, Sodium Acrylate/Sodium Acryloyldimethyl Taurate Copolymer, Butylene Glycol, Trisodium EDTA, Pelargonium Graveolens Flower Oil, Rosmarinus Officinalis (Rosemary) Leaf Oil, Isohexadecane, Avena Sativa (Oat) Kernel Extract, Calendula Officinalis Flower Extract, Nepeta Cataria Extract, Rubus Idaeus (Raspberry) Leaf Extract, Baptisia Tinctoria Root Extract, Lonicera Japonica (Honeysuckle) Flower Extract, Stellaria Media (Chickweed) Extract, Morinda Citrifolia Fruit Extract, Limonene, Citronellol, Geraniol, Citral, Linalool.']",38.0,Skincare,Sunscreen
P505024,The POREfessional Get Unblocked Makeup-Removing Cleansing Oil,5333,Benefit Cosmetics,770,4.6723,476.0,"['Caprylic/Capric Triglyceride, Simmondsia Chinensis (Jojoba) Seed Oil, PEG-40 Sorbitan Peroleate, Persea Gratissima (Avocado) Oil, Vitis Vinifera (Grape) Seed Oil, 1,2-Hexanediol, Caprylyl Glycol, Parfum (Fragrance), Bisabolol, Prunus Domestica Seed Oil, Triethyl Citrate, Tocopherol, Ceramide NP, Tocopheryl Acetate, Pentaerythrityl Tetra-Di-T-Butyl Hydroxyhydrocinnamate.']",39.0,Skincare,Cleansers
P505020,The POREfessional Good Cleanup Foaming Cleanser,5333,Benefit Cosmetics,429,4.6212,462.0,"['Aqua (Water), Coco-Betaine, Glycerin, Butylene Glycol, PEG-120 Methyl Glucose Dioleate, Sodium Lauroyl Sarcosinate, Maltitol, Sodium Methyl Cocoyl Taurate, Sodium Cocoyl Isethionate, Polyacrylate Crosspolymer-6, Sodium Benzoate, Caprylyl Glycol, Citric Acid, Hydroxyacetophenone, Parfum (Fragrance), Polyquaternium-22, Bisabolol, Sodium Citrate, Pentylene Glycol, Citrus Limon (Lemon) Fruit Extract, Sphingolipids, Sphingomonas Ferment Extract, Citrus Junos Fruit Extract, Pentaerythrityl Tetra-Di-T-Butyl Hydroxyhydrocinnamate, Tocopherol.']",29.0,Skincare,Cleansers
P474304,Squalane + Amino Aloe Gentle Pore-Minimizing Cleanser,6195,Biossance,39366,4.4072,528.0,"['Water/Aqua/Eau, Aloe Barbadensis Leaf Juice, Cocamidopropyl Hydroxysultaine, Glycerin, Sodium Cocoyl Isethionate, Disodium Coco-Glucoside Citrate, Squalane, Cocoyl Proline, Moringa Oleifera Leaf Extract, Rosmarinus Officinalis (Rosemary) Leaf Oil, Cymbopogon Schoenanthus Oil, Pelargonium Graveolens Oil, Salvia Sclarea (Clary) Oil, Hydrolyzed Pea Protein, Medicago Sativa (Alfalfa) Extract, Sodium Levulinate, Caramel, Magnesium Chloride, Potassium Sorbate, Sodium Gluconate, Citric Acid, Citral, Citronellol, Linalool.']",28.0,Skincare,Cleansers
P416564,100% Sugarcane Squalane Oil,6195,Biossance,69489,4.5336,476.0,['Squalane Oil.'],34.0,Skincare,Moisturizers
P503642,Squalane + Vitamin C Rose Brightening Moisturizer,6195,Biossance,11500,4.4234,333.0,"['Water/Aqua/Eau, Squalane, Glycerin, Caprylic/Capric Triglyceride, Isoamyl Laurate, Cetearyl Olivate, Sorbitan Olivate, Tetrahexyldecyl Ascorbate, Lactobacillus/Lemon Peel Ferment Extract, Tocopherol, Glyceryl Stearate SE, Rosa Damascena Flower Extract, Hydroxyethyl Acrylate/Sodium Acryloyldimethyl Taurate Copolymer, Leuconostoc/Radish Root Ferment Filtrate, Cetyl Alcohol, Acacia Senegal Gum, Xanthan Gum, Ethylhexylglycerin, Phytic Acid, Sodium Gluconate, Phenoxyethanol, Citric Acid, Sodium Hydroxide, Citronellol, Iron Oxide (CI 77491).']",56.0,Skincare,Moisturizers
P462829,Squalane + Elderberry Nourishing Jelly Cleanser,6195,Biossance,21228,3.6441,236.0,"['Caprylic/Capric Triglyceride, Glycerin, Water/Aqua/Eau, Squalane, Hydrogenated Farnesene, Sodium Cocoyl Isethionate, Sucrose Laurate, Sucrose Stearate, Polymnia Sonchifolia Root Juice, Alpha-Glucan Oligosaccharide, Sambucus Nigra Fruit Extract, Lactobacillus, Ipomoea Batatas Root Extract, Oryza Sativa (Rice) Bran Extract, Acacia Senegal Gum, Helianthus Annuus (Sunflower) Extract, Caprylhydroxamic Acid, Sucrose Palmitate, Rosmarinus Officinalis (Rosemary) Leaf Extract, Phenethyl Alcohol, Ethylhexylglycerin, Maltodextrin, Tocopherol, Citric Acid.']",28.0,Skincare,Cleansers
P270543,Hydrating Face Cream Moisturizer,5644,Bobbi Brown,14373,4.2188,224.0,"['Water, Dimethicone, Butylene Glycol, Cetyl Alcohol, Ethylhexyl Palmitate, Caprylic/Capric/Myristic/Stearic Triglyceride, Aleurites Moluccana (Kukui) Seed Oil, Myristyl Myristate, Glyceryl Stearate, Algae Extract, Cetyl Phosphate, Polyperfluoromethylisopropyl Ether, Coriandrum Sativum (Coriander) Seed Oil, Rosmarinus Officinalis (Rosemary), Rosa Canina (Rose) Fruit Oil, Elettaria Cardamomum (Cardamom), Lavandula Angustifolia (Lavender), Jasminum Officinale (Jasmine), Tocopheryl Acetate, Cholesterol, Linoleic Acid, Trehalose, Glycerin, Caffeine, Peg-10 Dimethicone, Myristyl Laurate, Phytantriol, Acrylates Copolymer, Lecithin, Sodium Acrylates/Acrylonitrogens Copolymer, Phytosphingosine, Propylene Glycol Stearate, Sodium Hyaluronate, Polysorbate 20, Caprylyl Glycol, Sorbitan Laurate, Myristyl Alcohol, Propylene Glycol Laurate, Tocopherol, Glycine, Sodium Hydroxide, Carbomer, Hydroxyproline, Proline, Citric Acid, Hexylene Glycol, Disodium Edta, Phenoxyethanol <ILN38467>.']",66.0,Skincare,Moisturizers
P420224,Vinoperfect Brightening Glycolic Essence,4171,Caudalie,66634,4.2692,535.0,"['Aqua/Water/Eau, Vitis Vinifera (Grape) Fruit Water, Citrus Aurantium Amara (Bitter Orange) Flower Water, Glycerin, Methylpropanediol, Glycolic Acid, Caprylyl Glycol, Sodium Hydroxide, Vitis Vinifera (Grape) Juice, Sodium Benzoate, Citric Acid, Arginine, Paeonia Lactiflora Root Extract, Potassium Sorbate, Sodium Phytate, Phenylpropanol, Linalool, Limonene.']",59.0,Skincare,Moisturizers
P472453,Vinosource-Hydra SOS Intense Hydration Moisturizer,4171,Caudalie,11425,4.0697,502.0,"['Aqua/Water/Eau, Glycerin, Ethylhexyl Cocoate, Squalane, Cetearyl Alcohol, Ethylhexyl Palmitate, Vitis Vinifera (Grape) Fruit Water, Borago Officinalis Seed Oil, Potassium Cetyl Phosphate, Palmitoyl Grape Seed Extract, Cetearyl Wheat Straw Glycosides, Caprylic/Capric Triglyceride, Oleyl Alcohol, Cetearyl Glucoside, Coco-Caprylate/Caprate, Hydrogenated Olive Oil Stearyl Esters, Tocopheryl Acetate, Carbomer, Caprylyl Glycol, Potassium Sorbate, Hydrogenated Vegetable Oil, Sodium Hydroxide, Tocopherol, Helianthus Annuus (Sunflower) Seed Oil, Vitis Vinifera (Grape) Juice, Crithmum Maritimum Extract, Sodium Carboxymethyl Beta-Glucan, Acrylates/C10-30 Alkyl Acrylate Crosspolymer, Citric Acid, Sodium Hyaluronate, Sodium Benzoate, Hydrogenated Palm Glycerides Citrate, Parfum (Fragrance) (235/007).']",45.0,Skincare,Moisturizers
P474939,Vinopure Natural Salicylic Acid Pore Minimizing Toner,4171,Caudalie,21937,4.0414,459.0,"['Aqua/Water/Eau, Alcohol Denat., Rosa Damascena Flower Water, Vitis Vinifera (Grape) Fruit Water, Caprylyl/Capryl Glucoside, Arginine, Salicylic Acid, Vitis Vinifera (Grape) Juice, Citric Acid, Pelargonium Graveolens Flower Oil, Mentha Piperita (Peppermint) Oil, Citral, Cymbopogon Citratus Leaf Oil, Rosmarinus Officinalis (Rosemary) Leaf Oil, Sodium Benzoate, Citronellol, Sodium Phytate, Geraniol, Potassium Sorbate, Linalool, Lavandula Hybrida Oil, Melissa Officinalis Leaf Oil, Limonene.']",30.0,Skincare,Cleansers
P468637,Vinoclean Makeup Removing Cleansing Oil,4171,Caudalie,15643,4.3098,439.0,"['Helianthus Annuus (Sunflower) Seed Oil*, Polyglyceryl-4 Oleate*, Caprylic/Capric Triglyceride*, Ricinus Communis (Castor) Seed Oil*, Prunus Amygdalus Dulcis (Sweet Almond) Oil*, Vitis Vinifera (Grape) Seed Oil*, Tocopherol*, Fragrance*. *Plant origin.']",30.0,Skincare,Cleansers
P467750,Resveratrol Lift Retinol Alternative Firming Cashmere Moisturizer,4171,Caudalie,24347,4.6567,335.0,"['Aqua/Water/Eau, Coco-Caprylate/Caprate, Caprylic/Capric Triglyceride, Butylene Glycol, Octyldodecyl Myristate, Glycerin, Butyrospermum Parkii (Shea) Butter Extract, Cetearyl Alcohol, C12-16 Alcohols, Microcrystalline Cellulose, Vitis Vinifera (Grape) Seed Oil, Palmitoyl Grapevine Shoot Extract, Cetearyl Glucoside, Ci 77891 (Titanium Dioxide), Hydrogenated Lecithin, Palmitic Acid, Potassium Cetyl Phosphate, Mica, Caprylyl Glycol, Polyacrylate Crosspolymer-6, Benzyl Alcohol, Tocopherol, Helianthus Annuus (Sunflower) Seed Oil, Xanthan Gum, Hydrolyzed Hyaluronic Acid, Lecithin, Adenosine, Sodium Phytate, Acetyl Dipeptide-1 Cetyl Ester, Hyaluronic Acid, Dehydroacetic Acid, Silica, Khaya Senegalensis Bark Extract, Maltodextrin, Tin Oxide, Sodium Hydroxide, Paeonia Lactiflora Root Extract, Citric Acid, Parfum (Fragrance), Linalool, Limonene, Coumarin(246/011).']",69.0,Skincare,Moisturizers
P480160,Premier Cru Anti Aging Cream Moisturizer with Hyaluronic Acid,4171,Caudalie,20963,4.6379,243.0,"['Aqua/Water/Eau, Glycerin, Butylene Glycol, Caprylic/Capric Triglyceride, Hydrogenated Ethylhexyl Olivate, Cetearyl Alcohol, Cetearyl Glucoside, Coco-Caprylate/Caprate, Hydrogenated Olive Oil Unsaponifiables, Sesamum Indicum (Sesame) Seed Oil, Vitis Vinifera (Grape) Seed Oil, Butyrospermum Parkii (Shea) Butter Extract, Propanediol, Palmitoyl Grapevine Shoot Extract, Palmitoyl Grape Seed Extract, Pentaerythrityl Distearate, Potassium Cetyl Phosphate, Carbomer, Caprylyl Glycol, Xanthan Gum, Hydrolyzed Hyaluronic Acid, Magnolia Grandiflora Bark Extract, Potassium Sorbate, Tocopherol, Helianthus Annuus (Sunflower) Seed Oil, Adenosine, Sodium Hydroxide, Sodium Phytate, Gleditsia Triacanthos Seed Extract, Paeonia Lactiflora Root Extract, Parfum (Fragrance), Geraniol, Linalool, Citronellol.(316/008).']",129.0,Skincare,Moisturizers
P471227,Vinoperfect Brightening Glycolic Night Cream,4171,Caudalie,14020,4.4667,240.0,"['Aqua/Water/Eau, Butylene Glycol, Glycerin, Cetearyl Alcohol, Coco-Caprylate/Caprate, Glyceryl Stearate Se, Butyrospermum Parkii (Shea) Butter Extract, Caprylic/Capric Triglyceride, Vitis Vinifera(Grape) Seed Oil, Hydrogenated Vegetable Oil, Triheptanoin, Panthenol, Potassium Cetyl Phosphate, Squalane, Palmitoyl Grapevine Shoot Extract, Glycolic Acid, Cetearyl Glucoside, Bisabolol, Tocopheryl Acetate, Benzyl Alcohol, Sodium Hydroxide, Acacia Senegal Gum, Xanthan Gum, Caprylyl Glycol, Cassia Angustifolia Seed Polysaccharide, Arginine, Dehydroacetic Acid, Limonene, Linalool, Sodium Hyaluronate, Carbomer, Sodium Phytate, Papain, 1,2-Hexanediol, Tocopherol, Algin, Parfum (Fragrance), Geraniol.']",69.0,Skincare,Moisturizers
P6028,Gentle Buffing Cream,4171,Caudalie,8817,4.3051,236.0,"['Water, Hexyldecyl Stearate*, Cellulose*, Hydrogenated Jojoba Oil*, Glycerin*, Vitis Vinifera (Grape) Seed Oil*, Mel (Honey), C14-22 Alcohols*, Potassium Cetyl Phosphate, Myristyl Alcohol*, Sodium Acrylates Copolymer, Caprylyl Glycol, Parfum (Fragrance), Hydrogenated Polyisobutene, Benzyl Alcohol , C12-20 Alkyl Glucoside*, Xanthan Gum, Helianthus Annuus (Sunflower) Seed Oil*, Myristyl Glucoside*, Butylene Glycol, Phospholipids*, Polyglyceryl-10 Stearate*, Tocopherol*, Glycyrrhiza Glabra (Licorice) Root Extract*, Dehydroacetic Acid, Glucose*, Benzyl Benzoate, Hexyl Cinnamal, Limonene, Linalool. *Plant Origin.']",35.0,Skincare,Cleansers
P481366,Isle Glow Face Moisturizer SPF 45 with Sea Moss and Niacinamide,6742,CAY SKIN,15371,4.2896,442.0,"['Avobenzone 3% Sunscreen, Octisalate 5% Sunscreen, Octocrylene 10% Sunscreen, Water, Butyloctyl Salicylate, Sodium Potassium Aluminum Silicate, Diisopropyl Sebacate, Diisopropyl Adipate, C12-15 Alkyl Benzoate, Lauryl Lactate, Glycerin, Mica, Propanediol, Glyceryl Stearate, Citrullus Lanatus (Watermelon) Fruit Extract, Pyrus Malus (Apple) Fruit Extract, Lens Esculenta (Lentil) Fruit Extract, Chondrus Crispus Extract, Panthenol, Niacinamide, Ferulic Acid, Helianthus Annuus (Sunflower) Seed Oil, Theobroma Cacao (Cocoa) Seed Butter, Cetyl Phosphate, Glyceryl Stearate Citrate, Silica, Caprylyl Glycol, 1,2-Hexanediol, Acrylates/C10-30 Alkyl Acrylate Crosspolymer, Chlorphenesin, Aminomethyl Propanol, Disodium EDTA, Sodium Lactate, Sodium PCA, Vanilla Planifolia Fruit Extract, Santalum Album (Sandalwood) Oil, Rosa Damascena Flower Oil, Myroxylon Pereirae (Balsam Peru) Oil, Cupressus Sempervirens Leaf/Nut/Stem Oil, Coffea Arabica (Coffee) Seed Oil, Citrus Aurantium Bergamia (Bergamot) Fruit Oil, Citrus Aurantium Amara (Bitter Orange) Flower Oil, Amyris Balsamifera Bark Oil, Sodium Benzoate, Potassium Sorbate, Caprylic/Capric Triglyceride, Limonium Gerberi Extract, Limonene, Linalool, Benzyl Benzoate, Titanium Dioxide, Iron Oxides.']",34.0,Skincare,Sunscreen
